artifact,evidence_status,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint,note
batch_size__index18__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,index18,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,99,54,54.5,ok,False,04a69e4c,1851.3,07-29 01:50,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp-wide.json,provisional,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,139,69,49.6,ok,True,00072810,3425.6,07-28 20:13,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp-wide.json,provisional,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,139,72,51.8,ok,True,00072810,3425.6,07-28 20:13,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp-wide.json,provisional,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,139,68,48.9,ok,True,00072810,3425.6,07-28 20:13,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b1,139,42,30.2,ok,False,e3008b81,952.5,07-28 17:08,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b10,139,64,46.0,ok,False,e3008b81,952.5,07-28 17:08,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b25,139,69,49.6,ok,False,e3008b81,952.5,07-28 17:08,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,b5,139,56,40.3,ok,False,e3008b81,952.5,07-28 17:08,http://127.0.0.1:8090/v1,
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b1,139,40,28.8,ok,False,,1396.6,07-28 16:25,http://localhost:1234/v1,
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b10,139,53,38.1,ok,False,,1396.6,07-28 16:25,http://localhost:1234/v1,
